"id","label","continent","region","lat","long","continent_fr"
"Germany","Allemagne","Europe","Europe & Central Asia",51.0834196,10.4234469,"Europe"
"Ghana","Ghana","Africa","Sub-Saharan Africa",8.0300284,-1.0800271,"Afrique"
"Greece","Grèce","Europe","Europe & Central Asia",38.9953683,21.9877132,"Europe"
"Grenada","Grenade","Americas","Latin America & Caribbean",12.1360374,-61.6904045,"Amériques"
"Guatemala","Guatemala","Americas","Latin America & Caribbean",15.6356088,-89.8988087,"Amériques"
"Guinea","Guinée","Africa","Sub-Saharan Africa",10.7226226,-10.7083587,"Afrique"
"Guinea-Bissau","Guinée-Bissau","Africa","Sub-Saharan Africa",11.6688305,-15.5354713716112,"Afrique"
"Guyana","Guyana","Americas","Latin America & Caribbean",4.8417097,-58.6416891,"Amériques"
"Haiti","Haïti","Americas","Latin America & Caribbean",19.1399952,-72.3570972,"Amériques"
"Holy See (Vatican)","Saint-Siège","Europe","Europe & Central Asia",41.9038795,12.4520834,"Europe"
"Honduras","Honduras","Americas","Latin America & Caribbean",15.2572432,-86.0755145,"Amériques"
"Hungary","Hongrie","Europe","Europe & Central Asia",47.1817585,19.5060937,"Europe"
"Iceland","Islande","Europe","Europe & Central Asia",64.9841821,-18.1059013,"Europe"
"India","Inde","Asia","South Asia",22.3511148,78.6677428,"Asie"
"Indonesia","Indonésie","Asia","East Asia & Pacific",-2.4833826,117.8902853,"Asie"
"Iran","Iran","Asia","Middle East & North Africa",32.6475314,54.5643516,"Asie"
"Iraq","Irak","Asia","Middle East & North Africa",33.0955793,44.1749775,"Asie"
"Ireland","Irlande","Europe","Europe & Central Asia",52.865196,-7.9794599,"Europe"
"Israel","Israël","Asia","Middle East & North Africa",31.5313113,34.8667654,"Asie"
"Italy","Italie","Europe","Europe & Central Asia",42.6384261,12.674297,"Europe"
"Jamaica","Jamaïque","Americas","Latin America & Caribbean",18.1850507,-77.3947693,"Amériques"
"Japan","Japon","Asia","East Asia & Pacific",36.5748441,139.2394179,"Asie"
"Jordan","Jordanie","Asia","Middle East & North Africa",31.1667049,36.941628,"Asie"
"Kazakhstan","Kazakhstan","Asia","Europe & Central Asia",47.2286086,65.2093197,"Asie"
"Kenya","Kenya","Africa","Sub-Saharan Africa",1.4419683,38.4313975,"Afrique"
"Kiribati","Kiribati","Oceania","East Asia & Pacific",-1.23945555,175.296945538698,"Océanie"
"Korea, Democratic People's Republic of","Corée du Nord","Asia","East Asia & Pacific",40.3736611,127.0870417,"Asie"
"Korea, Republic of","Corée du Sud","Asia","East Asia & Pacific",36.638392,127.6961188,"Asie"
"Kosovo","Kosovo","Europe","Europe & Central Asia",42.5869578,20.9021231,"Europe"
"Kuwait","Koweït","Asia","Middle East & North Africa",29.2733964,47.4979476,"Asie"
"Kyrgyzstan","Kirghizistan","Asia","Europe & Central Asia",41.5089324,74.724091,"Asie"
"Lao People's Democratic Republic","Laos","Asia","East Asia & Pacific",20.0171109,103.378253,"Asie"
"Latvia","Lettonie","Europe","Europe & Central Asia",56.8406494,24.7537645,"Europe"
"Lebanon","Liban","Asia","Middle East & North Africa",33.8750629,35.843409,"Asie"
"Lesotho","Lesotho","Africa","Sub-Saharan Africa",-29.6039267,28.3350193,"Afrique"
"Liberia","Libéria","Africa","Sub-Saharan Africa",5.7499721,-9.3658524,"Afrique"
"Libya","Libye","Africa","Middle East & North Africa",26.8234472,18.1236723,"Afrique"
"Liechtenstein","Liechtenstein","Europe","Europe & Central Asia",47.1416307,9.5531527,"Europe"
"Lithuania","Lituanie","Europe","Europe & Central Asia",55.3500003,23.7499997,"Europe"
"Luxembourg","Luxembourg","Europe","Europe & Central Asia",49.8158683,6.1296751,"Europe"
"Macedonia","Macédoine","Europe","Europe & Central Asia",41.6171214,21.7168387,"Europe"
"Madagascar","Madagascar","Africa","Sub-Saharan Africa",-18.9249604,46.4416422,"Afrique"
"Malawi","Malawi","Africa","Sub-Saharan Africa",-13.2687204,33.9301963,"Afrique"
"Malaysia","Malaisie","Asia","East Asia & Pacific",4.5693754,102.2656823,"Asie"
"Maldives","Maldives","Asia","South Asia",4.7064352,73.3287853,"Asie"
"Mali","Mali","Africa","Sub-Saharan Africa",16.3700359,-2.2900239,"Afrique"
"Malta","Malte","Europe","Middle East & North Africa",35.8885993,14.4476911,"Europe"
"Marshall Islands","Îles Marshall","Oceania","East Asia & Pacific",6.9518742,170.9985095,"Océanie"
"Mauritania","Mauritanie","Africa","Sub-Saharan Africa",20.2540382,-9.2399263,"Afrique"
"Mauritius","Maurice","Africa","Sub-Saharan Africa",-20.2759451,57.5703566,"Afrique"
"Mexico","Mexique","Americas","Latin America & Caribbean",22.5000485,-100.0000375,"Amériques"
"Micronesia, Federated States of","Micronésie","Oceania","East Asia & Pacific",8.6065,152.00846930625,"Océanie"
"Moldova, Republic of","Moldavie","Europe","Europe & Central Asia",47.2879608,28.5670941,"Europe"
"Monaco","Monaco","Europe","Europe & Central Asia",43.7323492,7.4276832,"Europe"
"Mongolia","Mongolie","Asia","East Asia & Pacific",46.8250388,103.8499736,"Asie"
"Montenegro","Monténégro","Europe","Europe & Central Asia",42.9868853,19.5180992,"Europe"
"Montserrat","Montserrat","Americas","Latin America & Caribbean",16.7417041,-62.1916844,"Amériques"
"Morocco","Maroc","Africa","Middle East & North Africa",31.1728205,-7.3362482,"Afrique"
"Mozambique","Mozambique","Africa","Sub-Saharan Africa",-19.302233,34.9144977,"Afrique"
"Myanmar","Birmanie","Asia","East Asia & Pacific",17.1750495,95.9999652,"Asie"
"Namibia","Namibie","Africa","Sub-Saharan Africa",-23.2335499,17.3231107,"Afrique"
"Nauru","Nauru","Oceania","East Asia & Pacific",-0.5252306,166.9324426,"Océanie"
"Nepal","Népal","Asia","South Asia",28.1083929,84.0917139,"Asie"
"Netherlands","Pays-Bas","Europe","Europe & Central Asia",52.5001698,5.7480821,"Europe"
"New Zealand","Nouvelle-Zélande","Oceania","East Asia & Pacific",-41.5000831,172.8344077,"Océanie"
"Nicaragua","Nicaragua","Americas","Latin America & Caribbean",12.6090157,-85.2936911,"Amériques"
"Niger","Niger","Africa","Sub-Saharan Africa",17.7356214,9.3238432,"Afrique"
"Nigeria","Nigeria","Africa","Sub-Saharan Africa",9.6000359,7.9999721,"Afrique"
"Northern Cyprus","Chypre du Nord","Asia","Europe & Central Asia",35.248036,33.657724,"Asie"
"Norway","Norvège","Europe","Europe & Central Asia",60.5000209,9.0999715,"Europe"
"Oman","Oman","Asia","Middle East & North Africa",21.0000287,57.0036901,"Asie"
"Pakistan","Pakistan","Asia","South Asia",30.3308401,71.247499,"Asie"
"Palau","Palaos","Oceania","East Asia & Pacific",5.3783537,132.9102573,"Océanie"
"Panama","Panama","Americas","Latin America & Caribbean",8.559559,-81.1308434,"Amériques"
"Papua New Guinea","Papouasie Nouvelle Guinée","Oceania","East Asia & Pacific",-5.6816069,144.2489081,"Océanie"
"Paraguay","Paraguay","Americas","Latin America & Caribbean",-23.3165935,-58.1693445,"Amériques"
"Peru","Pérou","Americas","Latin America & Caribbean",-6.8699697,-75.0458515,"Amériques"
"Philippines","Philippines","Asia","East Asia & Pacific",12.7503486,122.7312101,"Asie"
"Poland","Pologne","Europe","Europe & Central Asia",52.215933,19.134422,"Europe"
"Portugal","Portugal","Europe","Europe & Central Asia",40.0332629,-7.8896263,"Europe"
"Qatar","Qatar","Asia","Middle East & North Africa",25.3336984,51.2295295,"Asie"
"Romania","Roumanie","Europe","Europe & Central Asia",45.9852129,24.6859225,"Europe"
"Russia","Russie","Europe","Europe & Central Asia",64.6863136,97.7453061,"Europe"
"Russian Federation","Fédération Russe","Europe","Europe & Central Asia",64.6863136,97.7453061,"Europe"
"Rwanda","Rwanda","Africa","Sub-Saharan Africa",-1.9646631,30.0644358,"Afrique"
"Saint Kitts and Nevis","Saint-Christophe-et-Niévès","Americas","Latin America & Caribbean",17.250512,-62.6725973,"Amériques"
"Saint Lucia","Sainte-Lucie","Americas","Latin America & Caribbean",13.8250489,-60.975036,"Amériques"
"Saint Vincent and the Grenadines","Saint-Vincent-et-les-Grenadines","Americas","Latin America & Caribbean",12.90447,-61.2765569,"Amériques"
"Samoa (Formerly Western Samoa)","Samoa","Oceania","East Asia & Pacific",-13.7693895,-172.1200508,"Océanie"
"San Marino","Saint Marin","Europe","Europe & Central Asia",43.9458623,12.458306,"Europe"
"Sao Tome and Principe","Sao Tomé et Principe","Africa","Sub-Saharan Africa",0.8875498,6.9648718,"Afrique"
"Saudi Arabia","Arabie Saoudite","Asia","Middle East & North Africa",25.6242618,42.3528328,"Asie"
"Senegal","Sénégal","Africa","Sub-Saharan Africa",14.46517725,-14.7653409591004,"Afrique"
"Serbia","Serbie","Europe","Europe & Central Asia",44.1534121,20.55144,"Europe"
"Seychelles","Seychelles","Africa","Sub-Saharan Africa",-4.6574977,55.4540146,"Afrique"
"Sierra Leone","Sierra Leone","Africa","Sub-Saharan Africa",8.6400349,-11.8400269,"Afrique"
"Singapore","Singapour","Asia","East Asia & Pacific",1.357107,103.8194992,"Asie"
"Slovakia","Slovaquie","Europe","Europe & Central Asia",48.7411522,19.4528646,"Europe"
"Slovenia","Slovénie","Europe","Europe & Central Asia",45.8133113,14.4808369,"Europe"
"Solomon Islands","Îles Salomon","Oceania","East Asia & Pacific",-8.7053941,159.107069385185,"Océanie"
"Somalia","Somalie","Africa","Sub-Saharan Africa",8.3676771,49.083416,"Afrique"
"South Africa","Afrique du Sud","Africa","Sub-Saharan Africa",-28.8166236,24.991639,"Afrique"
"South Sudan","Soudan du Sud","Africa","Sub-Saharan Africa",6.876991,31.306978,"Afrique"
"Spain","Espagne","Europe","Europe & Central Asia",39.3260685,-4.8379791,"Europe"
"Sri Lanka","Sri Lanka","Asia","South Asia",7.5554942,80.7137847,"Asie"
"Sudan","Soudan","Africa","Sub-Saharan Africa",14.5844444,29.4917691,"Afrique"
"Suriname","Suriname","Americas","Latin America & Caribbean",4.1413025,-56.0771187,"Amériques"
"Swaziland","Swaziland","Africa","Sub-Saharan Africa",-26.5624806,31.3991317,"Afrique"
"Sweden","Suède","Europe","Europe & Central Asia",59.6749712,14.5208584,"Europe"
"Switzerland","Suisse","Europe","Europe & Central Asia",46.7985624,8.2319736,"Europe"
"Syria","Syrie","Asia","Middle East & North Africa",34.6401861,39.0494106,"Asie"
"Taiwan","Taïwan","Asia","East Asia & Pacific",23.9739374,120.9820179,"Asie"
"Tajikistan","Tadjikistan","Asia","Europe & Central Asia",38.6281733,70.8156541,"Asie"
"Tanganyika","Tanganyika","Africa","Sub-Saharan Africa",-6.5247123,35.7878438,"Afrique"
"Tanzania, United Republic of","Tanzanie","Africa","Sub-Saharan Africa",-6.5247123,35.7878438,"Afrique"
"Thailand","Thaïlande","Asia","East Asia & Pacific",14.8971921,100.83273,"Asie"
"Timor Leste","Timor oriental","Asia","East Asia & Pacific",-8.5151979,125.8375756,"Asie"
"Togo","Togo","Africa","Sub-Saharan Africa",8.7800265,1.0199765,"Afrique"
"Tonga","Tonga","Oceania","East Asia & Pacific",-19.9160819,-175.2026424,"Océanie"
"Trinidad and Tobago","Trinité-et-Tobago","Americas","Latin America & Caribbean",10.8677845,-60.9821067,"Amériques"
"Tunisia","Tunisie","Africa","Middle East & North Africa",33.8439408,9.400138,"Afrique"
"Turkey","Turquie","Asia","Europe & Central Asia",38.9597594,34.9249653,"Asie"
"Turkmenistan","Turkménistan","Asia","Europe & Central Asia",39.3763807,59.3924609,"Asie"
"Tuvalu","Tuvalu","Oceania","East Asia & Pacific",-8.6405212,179.15829181818,"Océanie"
"Uganda","Ouganda","Africa","Sub-Saharan Africa",1.5333554,32.2166578,"Afrique"
"Ukraine","Ukraine","Europe","Europe & Central Asia",49.4871968,31.2718321,"Europe"
"United Arab Emirates","Émirats Arabes Unis","Asia","Middle East & North Africa",24.0002488,53.9994829,"Asie"
"United Kingdom","Royaume-Uni","Europe","Europe & Central Asia",54.7023545,-3.2765753,"Europe"
"United States","États-Unis","Americas","North America",39.7837304,-100.4458825,"Amériques"
"Uruguay","Uruguay","Americas","Latin America & Caribbean",-32.8755548,-56.0201525,"Amériques"
"Uzbekistan","Ouzbékistan","Asia","Europe & Central Asia",41.32373,63.9528098,"Asie"
"Vanuatu","Vanuatu","Oceania","East Asia & Pacific",-16.5255069,168.1069154,"Océanie"
"Venezuela","Venezuela","Americas","Latin America & Caribbean",8.0018709,-66.1109318,"Amériques"
"Viet Nam","Viet Nam","Asia","East Asia & Pacific",13.2904027,108.4265113,"Asie"
"Yemen","Yémen","Asia","Middle East & North Africa",16.3471243,47.8915271,"Asie"
"Yugoslavia","Yougoslavie","Europe","Europe & Central Asia",44.81899672,20.457331504,"Europe"
"Zambia","Zambie","Africa","Sub-Saharan Africa",-14.5189121,27.5589884,"Afrique"
"Zanzibar","Zanzibar","Africa","Sub-Saharan Africa",-6.1333328,39.3166654,"Afrique"
"Zimbabwe","Zimbabwe","Africa","Sub-Saharan Africa",-19.01688,29.3536501597134,"Afrique"
